index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
297|sadness||||||['emotion', 'liwc']|assent|67.0|1460.0|0.04589041095890411|0.08775376555337264||||
298|sadness||||||['emotion', 'liwc']|nonfl|244.0|2975.0|0.08201680672268907|0.15159987573780678||||
299|sadness||||||['emotion', 'liwc']|filler|14.0|1163.0|0.012037833190025795|0.0237892948173322||||
300|shame||||||['emotion', 'liwc']|negate|320.0|2729.0|0.11725906925613779|0.20990488684814695||||
301|shame||||||['emotion', 'liwc']|social|930.0|6714.0|0.1385165326184093|0.24332810047095763||||
302|shame||||||['emotion', 'liwc']|family|200.0|2512.0|0.07961783439490445|0.14749262536873153||||
303|shame||||||['emotion', 'liwc']|friend|122.0|1943.0|0.06278950077200206|0.11815980629539952||||
304|shame||||||['emotion', 'liwc']|humans|667.0|4901.0|0.13609467455621302|0.23958333333333334||||
305|shame||||||['emotion', 'liwc']|affect|881.0|6224.0|0.14154884318766067|0.24799437016185788||||
306|shame||||||['emotion', 'liwc']|posemo|611.0|4736.0|0.12901182432432431|0.22853936786983353||||
307|shame||||||['emotion', 'liwc']|negemo|657.0|4628.0|0.141961970613656|0.24862819299905395||||
308|shame||||||['emotion', 'liwc']|anx|357.0|2333.0|0.15302186026575226|0.2654275092936803||||
309|shame||||||['emotion', 'liwc']|anger|242.0|2711.0|0.08926595352268536|0.16390111750761938||||
310|shame||||||['emotion', 'liwc']|sad|203.0|2626.0|0.0773038842345773|0.143513609049134||||
311|shame||||||['emotion', 'liwc']|cogmech|1045.0|7302.0|0.14311147630786086|0.25038936144722657||||
312|shame||||||['emotion', 'liwc']|insight|741.0|5339.0|0.1387900355871886|0.24375000000000002||||
313|shame||||||['emotion', 'liwc']|cause|491.0|3840.0|0.12786458333333334|0.22673747402447472||||
